12 01 07*;halogénmentes, ásványi alapú gépolaj (kivéve az emulziót és az oldatot);;;
12 01 08*;halogénelemeket tartalmazó hűtő-kenő emulzió és oldat;;;
12 01 09*;halogénmentes hűtő-kenő emulzió és oldat;;;
12 01 10*;szintetikus gépolaj;;;
12 01 19*;biológiailag lebomló gépolaj;;;
12 03 01*;vizes mosófolyadék;;;
12 03 02*;gőzzel végzett zsírtalanítás hulladéka;;;
13 01 05*;klórozott szerves vegyületeket nem tartalmazó emulzió;;;
13 01 10*;klórozott szerves vegyületeket nem tartalmazó ásványolaj alapú hidraulikaolaj;;;
13 01 11*;szintetikus hidraulikaolaj;;;
13 01 12*;biológiailag könnyen lebomló hidraulikaolaj;;;
13 01 13*;egyéb hidraulikaolaj;;;
13 02 04*;ásványolaj alapú, klórvegyületet tartalmazó motor-, hajtómű- és kenőolaj;;;
13 02 05*;ásványolaj alapú, klórvegyületet nem tartalmazó motor-, hajtómű- és kenőolaj;;;
13 02 06*;szintetikus motor-, hajtómű- és kenőolaj;;;
13 02 07*;biológiailag könnyen lebomló motor-, hajtómű- és kenőolaj;;;
13 02 08*;egyéb motor-, hajtómű- és kenőolaj;;;
13 03 07*;ásványolaj alapú, klórvegyületet nem tartalmazó szigetelő és hőtranszmissziós olaj;;;
13 03 08*;szintetikus szigetelő és hőtranszmissziós olaj;;;
13 03 09*;biológiailag könnyen lebomló szigetelő és hőtranszmissziós olaj;;;
13 03 10*;egyéb szigetelő és hőtranszmissziós olaj;;;
13 04 01*;belvízi hajózásból származó, olajjal szennyezett fenékvíz;;;
13 04 02*;kikötői olaj- és homokfogóból származó olajtartalmú hulladék;;;
13 04 03*;egyéb, hajózásból származó, olajjal szennyezett fenékvíz;;;
13 05 02*;olaj-víz szeparátorokból származó iszap;;;
13 05 06*;olaj-víz szeparátorokból származó olaj;;;
13 05 07*;olaj-víz szeparátorokból származó olajat tartalmazó víz;;;
13 05 08*;homokfogóból és olaj-víz szeparátorokból származó hulladékok keveréke;;;
13 07 01*;tüzelőolaj és dízelolaj;;;
13 07 03*;egyéb üzemanyagok (ideértve a keverékeket is);;;
13 08 01*;sótalanítási iszapok, emulziók;;;
13 08 02*;egyéb emulziók;;;
13 08 99*;közelebbről meg nem határozott hulladék;;;
14 06 03*;egyéb oldószer és oldószer keverék;;;
14 06 05*;egyéb oldószereket tartalmazó iszap és szilárd hulladék;;;
16 01 13*;fékfolyadék;;;
16 01 14*;veszélyes anyagokat tartalmazó fagyálló folyadék;;;
16 01 15;fagyálló folyadék, amely különbözik a 16 01 14-től;;;
16 03 03*;veszélyes anyagokat tartalmazó szervetlen hulladék;;;
16 03 04;szervetlen hulladék, amely különbözik a 16 03 03-tól;;;
16 03 05*;veszélyes anyagokat tartalmazó szerves hulladék;;;
16 03 06;szerves hulladék, amely különbözik a 16 03 05-től;;;
16 05 07*;használatból kivont, veszélyes anyagokból álló vagy azokkal szennyezett szervetlen vegyszerek;;;
16 05 08*;használatból kivont, veszélyes anyagokból álló vagy azokkal szennyezett szerves vegyszerek;;;
16 07 08*;olajat tartalmazó hulladék;;;
16 07 09*;egyéb veszélyes anyagokat tartalmazó hulladék;;;
16 10 01*;veszélyes anyagokat tartalmazó vizes folyékony hulladék;;;
16 10 02;vizes folyékony hulladék, amely különbözik a 16 10 01-től;;;
16 10 03*;veszélyes anyagokat tartalmazó vizes tömény oldatok;;;
16 10 04;vizes tömény oldatok, amelyek különböznek a 16 10 03-tól;;;
19 02 07*;elválasztásból származó olaj és koncentrátum;;;
19 02 08*;veszélyes anyagokat tartalmazó folykony, éghető hulladék;;;
19 07 02*;hulladéklerakóból származó, veszélyes anyagokat tartalmazó csurgalékvíz;;;
19 07 03;hulladéklerakóból származó csurgalékvíz, amely különbözik a 19 07 02-től;;;
19 11 03*;vizes folyékony hulladék;;;
19 13 07*;szennyezett talajvíz remediációjából származó, veszélyes anyagokat tartalmazó szennyvíz, tömény vizes oldatok;;;
19 13 08;szennyezett talajvíz remediációjából származó szennyvíz, tömény vizes oldatok, amelyek különböznek a 19 13 07-től;;;
